timestamp,run,function,duration,prompt_tokens,completion_tokens,model,max_tokens,temperature
44171.378916978836,39,callCommonbase,368.54349994659424,11,1,gpt-4,1,0.01
44720.92591691017,39,callOpenai,549.3802499771118,11,1,gpt-4,1,0.01
46456.61641693115,40,callOpenai,1735.4873340129852,11,1,gpt-4,1,0.01
46702.93229198456,40,callCommonbase,246.16554188728333,11,1,gpt-4,1,0.01
47686.187417030334,41,callOpenai,983.0508749485016,11,1,gpt-4,1,0.01
47995.13733291626,41,callCommonbase,308.7534158229828,11,1,gpt-4,1,0.01
48609.840332984924,42,callOpenai,614.4932498931885,11,1,gpt-4,1,0.01
49540.22054195404,42,callCommonbase,930.2546670436859,11,1,gpt-4,1,0.01
49839.05379199982,43,callCommonbase,298.6527500152588,11,1,gpt-4,1,0.01
50452.357291936874,43,callOpenai,613.1840419769287,11,1,gpt-4,1,0.01
50759.28533291817,44,callCommonbase,306.75237488746643,11,1,gpt-4,1,0.01
52192.263458013535,44,callOpenai,1432.8750410079956,11,1,gpt-4,1,0.01
52917.77758312225,45,callOpenai,725.1365411281586,11,1,gpt-4,1,0.01
53372.031125068665,45,callCommonbase,454.0665421485901,11,1,gpt-4,1,0.01
53851.331249952316,46,callOpenai,479.0219168663025,11,1,gpt-4,1,0.01
54347.8963329792,46,callCommonbase,496.3814580440521,11,1,gpt-4,1,0.01
54624.15899991989,47,callCommonbase,276.02099990844727,11,1,gpt-4,1,0.01
55469.470333099365,47,callOpenai,845.1053330898285,11,1,gpt-4,1,0.01
55706.766957998276,48,callCommonbase,237.0657079219818,11,1,gpt-4,1,0.01
56598.81900000572,48,callOpenai,891.9455828666687,11,1,gpt-4,1,0.01
57417.92487502098,49,callOpenai,818.6574580669403,11,1,gpt-4,1,0.01
57672.37216711044,49,callCommonbase,254.2462501525879,11,1,gpt-4,1,0.01
58134.69079208374,50,callCommonbase,462.1201250553131,11,1,gpt-4,1,0.01
58747.19499993324,50,callOpenai,612.2884578704834,11,1,gpt-4,1,0.01
59362.19674992561,51,callOpenai,614.7535829544067,11,1,gpt-4,1,0.01
59874.31758308411,51,callCommonbase,511.8865830898285,11,1,gpt-4,1,0.01
60181.9624581337,52,callCommonbase,307.36216616630554,11,1,gpt-4,1,0.01
61204.87929201126,52,callOpenai,1022.7117919921875,11,1,gpt-4,1,0.01
61614.25375008583,53,callCommonbase,409.17866706848145,11,1,gpt-4,1,0.01
62432.8420419693,53,callOpenai,818.4501669406891,11,1,gpt-4,1,0.01
63400.47812509537,54,callOpenai,967.433042049408,11,1,gpt-4,1,0.01
63767.57608294487,54,callCommonbase,366.9511659145355,11,1,gpt-4,1,0.01
64379.76612496376,55,callCommonbase,611.9756669998169,11,1,gpt-4,1,0.01
64993.12695813179,55,callOpenai,613.2228751182556,11,1,gpt-4,1,0.01
65571.48004198074,56,callOpenai,578.1595418453217,11,1,gpt-4,1,0.01
65850.18329191208,56,callCommonbase,278.52987480163574,11,1,gpt-4,1,0.01
66530.0561671257,57,callOpenai,679.7015841007233,11,1,gpt-4,1,0.01
66867.15229201317,57,callCommonbase,336.94883394241333,11,1,gpt-4,1,0.01
67090.40466713905,58,callCommonbase,222.92950010299683,11,1,gpt-4,1,0.01
67760.14116692543,58,callOpenai,669.6309168338776,11,1,gpt-4,1,0.01
68036.80154204369,59,callCommonbase,276.4351670742035,11,1,gpt-4,1,0.01
