timestamp,run,function,duration,prompt_tokens,completion_tokens,model,max_tokens,temperature
785.7709589004517,0,callCommonbase,595.3443748950958,11,1,gpt-3.5-turbo,1,0.01
1578.2570419311523,0,callOpenai,792.312374830246,11,1,gpt-3.5-turbo,1,0.01
2108.6567089557648,1,callOpenai,529.9458339214325,11,1,gpt-3.5-turbo,1,0.01
2406.8853340148926,1,callCommonbase,297.836874961853,11,1,gpt-3.5-turbo,1,0.01
4035.579624891281,2,callOpenai,1628.2495408058167,11,1,gpt-3.5-turbo,1,0.01
4258.2179589271545,2,callCommonbase,221.812166929245,11,1,gpt-3.5-turbo,1,0.01
4463.7270839214325,3,callCommonbase,205.1391248703003,11,1,gpt-3.5-turbo,1,0.01
5196.463500022888,3,callOpenai,732.4882500171661,11,1,gpt-3.5-turbo,1,0.01
5808.303584098816,4,callOpenai,611.1793751716614,11,1,gpt-3.5-turbo,1,0.01
6001.445584058762,4,callCommonbase,192.95600008964539,11,1,gpt-3.5-turbo,1,0.01
6280.990083932877,5,callCommonbase,279.2878749370575,11,1,gpt-3.5-turbo,1,0.01
7001.583292007446,5,callOpenai,720.2955830097198,11,1,gpt-3.5-turbo,1,0.01
7173.503083944321,6,callCommonbase,171.63150000572205,11,1,gpt-3.5-turbo,1,0.01
7819.456208944321,6,callOpenai,645.8259589672089,11,1,gpt-3.5-turbo,1,0.01
8184.506208896637,7,callOpenai,364.8798339366913,11,1,gpt-3.5-turbo,1,0.01
8431.713083982468,7,callCommonbase,247.04179191589355,11,1,gpt-3.5-turbo,1,0.01
8604.744084119797,8,callCommonbase,172.81791710853577,11,1,gpt-3.5-turbo,1,0.01
9032.488084077835,8,callOpenai,427.6241669654846,11,1,gpt-3.5-turbo,1,0.01
9299.806999921799,9,callCommonbase,267.06733298301697,11,1,gpt-3.5-turbo,1,0.01
9716.161250114441,9,callOpenai,416.0937910079956,11,1,gpt-3.5-turbo,1,0.01
10175.566874980927,10,callOpenai,458.8654999732971,11,1,gpt-3.5-turbo,1,0.01
10391.384124994278,10,callCommonbase,215.65083289146423,11,1,gpt-3.5-turbo,1,0.01
10638.433125019073,11,callCommonbase,246.77500009536743,11,1,gpt-3.5-turbo,1,0.01
11220.854375123978,11,callOpenai,582.2856252193451,11,1,gpt-3.5-turbo,1,0.01
11421.536124944687,12,callCommonbase,200.45158290863037,11,1,gpt-3.5-turbo,1,0.01
11820.901541948318,12,callOpenai,399.10829186439514,11,1,gpt-3.5-turbo,1,0.01
12225.521374940872,13,callOpenai,402.46508288383484,11,1,gpt-3.5-turbo,1,0.01
12460.951167106628,13,callCommonbase,235.2743752002716,11,1,gpt-3.5-turbo,1,0.01
12858.511250019073,14,callOpenai,397.16566610336304,11,1,gpt-3.5-turbo,1,0.01
13094.71624994278,14,callCommonbase,235.97083282470703,11,1,gpt-3.5-turbo,1,0.01
13654.699875116348,15,callOpenai,559.7257912158966,11,1,gpt-3.5-turbo,1,0.01
13884.838042020798,15,callCommonbase,229.92125010490417,11,1,gpt-3.5-turbo,1,0.01
14098.741333961487,16,callCommonbase,213.64662504196167,11,1,gpt-3.5-turbo,1,0.01
14530.512249946594,16,callOpenai,431.42633295059204,11,1,gpt-3.5-turbo,1,0.01
14719.757333993912,17,callCommonbase,189.02608394622803,11,1,gpt-3.5-turbo,1,0.01
15172.289208889008,17,callOpenai,452.32474994659424,11,1,gpt-3.5-turbo,1,0.01
15418.921292066574,18,callCommonbase,246.35995817184448,11,1,gpt-3.5-turbo,1,0.01
15767.466792106628,18,callOpenai,348.37545800209045,11,1,gpt-3.5-turbo,1,0.01
15953.652209043503,19,callCommonbase,185.9736671447754,11,1,gpt-3.5-turbo,1,0.01
16364.158209085464,19,callOpenai,410.3263750076294,11,1,gpt-3.5-turbo,1,0.01
16830.462249994278,20,callOpenai,465.99316596984863,11,1,gpt-3.5-turbo,1,0.01
17068.953749895096,20,callCommonbase,238.37999987602234,11,1,gpt-3.5-turbo,1,0.01
17341.383125066757,21,callCommonbase,272.00999999046326,11,1,gpt-3.5-turbo,1,0.01
17766.111292123795,21,callOpenai,424.281042098999,11,1,gpt-3.5-turbo,1,0.01
17989.89545893669,22,callCommonbase,219.58049988746643,11,1,gpt-3.5-turbo,1,0.01
18570.747375011444,22,callOpenai,580.6092081069946,11,1,gpt-3.5-turbo,1,0.01
18985.699834108353,23,callOpenai,414.76525020599365,11,1,gpt-3.5-turbo,1,0.01
19219.73662495613,23,callCommonbase,233.92324995994568,11,1,gpt-3.5-turbo,1,0.01
19977.686666965485,24,callOpenai,757.423791885376,11,1,gpt-3.5-turbo,1,0.01
20186.454999923706,24,callCommonbase,208.48183298110962,11,1,gpt-3.5-turbo,1,0.01
20653.90875005722,25,callOpenai,467.2806251049042,11,1,gpt-3.5-turbo,1,0.01
20842.553083896637,25,callCommonbase,188.45254182815552,11,1,gpt-3.5-turbo,1,0.01
21337.389250040054,26,callOpenai,494.634290933609,11,1,gpt-3.5-turbo,1,0.01
21562.61141705513,26,callCommonbase,225.09483313560486,11,1,gpt-3.5-turbo,1,0.01
22005.858834028244,27,callOpenai,443.0731670856476,11,1,gpt-3.5-turbo,1,0.01
22256.805166959763,27,callCommonbase,250.7859170436859,11,1,gpt-3.5-turbo,1,0.01
22479.360333919525,28,callCommonbase,222.36837482452393,11,1,gpt-3.5-turbo,1,0.01
22870.255208969116,28,callOpenai,390.78170895576477,11,1,gpt-3.5-turbo,1,0.01
23284.837084054947,29,callCommonbase,414.38470911979675,11,1,gpt-3.5-turbo,1,0.01
23661.714584112167,29,callOpenai,376.4698340892792,11,1,gpt-3.5-turbo,1,0.01
24210.26270890236,30,callOpenai,548.2537498474121,11,1,gpt-3.5-turbo,1,0.01
24414.870666980743,30,callCommonbase,204.3960418701172,11,1,gpt-3.5-turbo,1,0.01
24815.14287495613,31,callOpenai,399.3067078590393,11,1,gpt-3.5-turbo,1,0.01
24986.623874902725,31,callCommonbase,171.34454083442688,11,1,gpt-3.5-turbo,1,0.01
25192.42270898819,32,callCommonbase,205.61466693878174,11,1,gpt-3.5-turbo,1,0.01
25736.496292114258,32,callOpenai,543.9422922134399,11,1,gpt-3.5-turbo,1,0.01
26103.043833971024,33,callOpenai,366.34183406829834,11,1,gpt-3.5-turbo,1,0.01
26364.76166701317,33,callCommonbase,261.5977499485016,11,1,gpt-3.5-turbo,1,0.01
26555.67591691017,34,callCommonbase,190.69608283042908,11,1,gpt-3.5-turbo,1,0.01
27006.889499902725,34,callOpenai,451.07995796203613,11,1,gpt-3.5-turbo,1,0.01
27411.720958948135,35,callOpenai,404.47283387184143,11,1,gpt-3.5-turbo,1,0.01
27639.124875068665,35,callCommonbase,227.27975010871887,11,1,gpt-3.5-turbo,1,0.01
28091.616333961487,36,callOpenai,452.30624985694885,11,1,gpt-3.5-turbo,1,0.01
28307.150708913803,36,callCommonbase,215.403333902359,11,1,gpt-3.5-turbo,1,0.01
28664.68283390999,37,callOpenai,357.32095885276794,11,1,gpt-3.5-turbo,1,0.01
28871.38637495041,37,callCommonbase,206.57045793533325,11,1,gpt-3.5-turbo,1,0.01
29283.595916986465,38,callOpenai,412.00016689300537,11,1,gpt-3.5-turbo,1,0.01
29469.546833992004,38,callCommonbase,185.79891705513,11,1,gpt-3.5-turbo,1,0.01
29936.932625055313,39,callOpenai,467.1828329563141,11,1,gpt-3.5-turbo,1,0.01
30139.965917110443,39,callCommonbase,202.80741715431213,11,1,gpt-3.5-turbo,1,0.01
30345.13004207611,40,callCommonbase,204.97770810127258,11,1,gpt-3.5-turbo,1,0.01
30756.36616706848,40,callOpenai,411.0822501182556,11,1,gpt-3.5-turbo,1,0.01
31177.699249982834,41,callOpenai,418.91566586494446,11,1,gpt-3.5-turbo,1,0.01
31386.467124938965,41,callCommonbase,208.5505828857422,11,1,gpt-3.5-turbo,1,0.01
31901.22404193878,42,callOpenai,514.3094170093536,11,1,gpt-3.5-turbo,1,0.01
32089.65424990654,42,callCommonbase,188.21529078483582,11,1,gpt-3.5-turbo,1,0.01
32480.679542064667,43,callOpenai,390.74779200553894,11,1,gpt-3.5-turbo,1,0.01
32686.459084033966,43,callCommonbase,205.50287508964539,11,1,gpt-3.5-turbo,1,0.01
32913.02491688728,44,callCommonbase,226.20920777320862,11,1,gpt-3.5-turbo,1,0.01
33452.09154200554,44,callOpenai,538.7949171066284,11,1,gpt-3.5-turbo,1,0.01
33827.65729188919,45,callOpenai,375.1142919063568,11,1,gpt-3.5-turbo,1,0.01
34033.300542116165,45,callCommonbase,205.4895830154419,11,1,gpt-3.5-turbo,1,0.01
34547.144583940506,46,callOpenai,513.5187499523163,11,1,gpt-3.5-turbo,1,0.01
34749.18658399582,46,callCommonbase,201.72258400917053,11,1,gpt-3.5-turbo,1,0.01
35161.46245908737,47,callOpenai,411.92925000190735,11,1,gpt-3.5-turbo,1,0.01
35365.734083890915,47,callCommonbase,204.1454999446869,11,1,gpt-3.5-turbo,1,0.01
35873.73141694069,48,callOpenai,507.63583302497864,11,1,gpt-3.5-turbo,1,0.01
36065.82483410835,48,callCommonbase,191.99200010299683,11,1,gpt-3.5-turbo,1,0.01
36516.26237511635,49,callOpenai,450.270583152771,11,1,gpt-3.5-turbo,1,0.01
36729.25174999237,49,callCommonbase,212.76037502288818,11,1,gpt-3.5-turbo,1,0.01
36935.43341708183,50,callCommonbase,205.78633308410645,11,1,gpt-3.5-turbo,1,0.01
37513.79025006294,50,callOpenai,578.1642501354218,11,1,gpt-3.5-turbo,1,0.01
37723.46058392525,51,callCommonbase,209.29212498664856,11,1,gpt-3.5-turbo,1,0.01
38254.49104189873,51,callOpenai,530.7185418605804,11,1,gpt-3.5-turbo,1,0.01
38499.255208969116,52,callCommonbase,244.37691688537598,11,1,gpt-3.5-turbo,1,0.01
38960.6190841198,52,callOpenai,461.0981252193451,11,1,gpt-3.5-turbo,1,0.01
39254.66137504578,53,callCommonbase,293.8370831012726,11,1,gpt-3.5-turbo,1,0.01
39712.5662920475,53,callOpenai,457.6868751049042,11,1,gpt-3.5-turbo,1,0.01
39906.21829199791,54,callCommonbase,193.30358290672302,11,1,gpt-3.5-turbo,1,0.01
40282.27474999428,54,callOpenai,375.86412501335144,11,1,gpt-3.5-turbo,1,0.01
40467.90100002289,55,callCommonbase,185.22162508964539,11,1,gpt-3.5-turbo,1,0.01
40995.66816711426,55,callOpenai,527.51833319664,11,1,gpt-3.5-turbo,1,0.01
